"WALLET STATEMENT"
"Party : office Expence"

"No.","Date","Party Name","Debit","Credit","Method","Note"
"1","04/08/2026","office Expence","20","","Cash","Chai namkin ke liye"
"2","04/08/2026","office Expence","35","","Cash","Chai bisket ke liye"
"3","05/08/2026","office Expence","20","","Cash",""
"10","14/08/2026","office Expence","","150","Cash","Chai ke paise mile"
"22","02/09/2026","office Expence","25","","Cash","chai biscuit namkeen ke liye pay kiye"

"TOTAL","","","755","150","",""
"NET BALANCE","","","","- Rs. 605","",""

"Generated on 15/09/2026"
